protein1,protein2,pred
PF3D7_1124900,PF3D7_0322900,0.417497369017973
PF3D7_1124900,PF3D7_0422400,0.431827525931609
PF3D7_1124900,PF3D7_1027800,0.462634176281828
PF3D7_1124900,PF3D7_1358800,0.416274025170184
PF3D7_1124900,PF3D7_1338200,0.381970236380207
PF3D7_1124900,PF3D7_1441200,0.23980026250697
PF3D7_1124900,PF3D7_0614500,0.38611096689041
PF3D7_1124900,PF3D7_1426000,0.449463152305725
PF3D7_1124900,PF3D7_0217800,0.392739706126508
PF3D7_1124900,PF3D7_1130100,0.755482048878354
PF3D7_1124900,PF3D7_1130200,0.287542158924025
PF3D7_1124900,PF3D7_1341200,0.378657209167303
PF3D7_1124900,PF3D7_1309100,0.207662087349709
PF3D7_1124900,PF3D7_1341300,0.249257494108775
PF3D7_1124900,PF3D7_0516900,0.278892352203716
PF3D7_1124900,PF3D7_1424100,0.252371538332262
PF3D7_1124900,PF3D7_0706400,0.213107012189224
PF3D7_1323100,PF3D7_1424400,0.871157213979697
PF3D7_1323100,PF3D7_0618300,0.692963254700615
PF3D7_1323100,PF3D7_1414300,0.822426907999274
PF3D7_1323100,PF3D7_0814000,0.873890215275048
PF3D7_1323100,PF3D7_1431700,0.834718380474111
PF3D7_1323100,PF3D7_1342000,0.54093852379391
PF3D7_1323100,PF3D7_1351400,0.884970181649698
PF3D7_1323100,PF3D7_0307200,0.820067438248383
PF3D7_1323100,PF3D7_0519400,0.590871280521363
PF3D7_1323100,PF3D7_0710600,0.770246073612405
PF3D7_1323100,PF3D7_1460700,0.724957297471071
PF3D7_1323100,PF3D7_1323400,0.58475463011104
PF3D7_1323100,PF3D7_1144000,0.659240755873772
PF3D7_1323100,PF3D7_1461300,0.596945285578218
PF3D7_1323100,PF3D7_1105400,0.447149744063727
PF3D7_1323100,PF3D7_1302800,0.425133118542757
PF3D7_1323100,PF3D7_1331800,0.668627214474196
PF3D7_1323100,PF3D7_0517000,0.488309284202677
PF3D7_1323100,PF3D7_1408600,0.535647298373658
PF3D7_1323100,PF3D7_0721600,0.363934243866908
PF3D7_1323100,PF3D7_1109900,0.543050225335276
PF3D7_1323100,PF3D7_0520000,0.443191571204836
